fromNode,fromNode_lat,fromNode_long,toNode,toNode_lat,toNode_long,weight,overhead
88,1.4009267,103.9167378,90,1.4006172,103.9165299,41.3098693,
88,1.4009267,103.9167378,92,1.4002986,103.9162965,85.0615009,
88,1.4009267,103.9167378,86,1.4012877,103.9169432,45.99902028,
88,1.4009267,103.9167378,84,1.4013841,103.9165819,53.46996987,
88,1.4009267,103.9167378,82,1.4016849,103.9162586,99.36156526,
84,1.4013841,103.9165819,Blk 303D (65221),1.4040774,103.9048174,1342.67288,
84,1.4013841,103.9165819,82,1.4016849,103.9162586,48.99766588,
84,1.4013841,103.9165819,88,1.4009267,103.9167378,53.46996987,
84,1.4013841,103.9165819,90,1.4006172,103.9165299,84.9971457,
84,1.4013841,103.9165819,86,1.4012877,103.9169432,41.59674489,
84,1.4013841,103.9165819,Punggol Station (taxi stand),1.4048609,103.9026867,1593.419305,
84,1.4013841,103.9165819,302A,1.4045119,103.9044019,1398.895702,
84,1.4013841,103.9165819,302B,1.404406,103.9047562,1357.796869,
82,1.4016849,103.9162586,Blk 303D (65221),1.4040774,103.9048174,1300.442583,
82,1.4016849,103.9162586,80,1.4017677,103.9159556,34.94064464,
82,1.4016849,103.9162586,88,1.4009267,103.9167378,99.36156526,
82,1.4016849,103.9162586,90,1.4006172,103.9165299,121.8602674,
82,1.4016849,103.9162586,92,1.4002986,103.9162965,153.3480532,
82,1.4016849,103.9162586,86,1.4012877,103.9169432,87.93980057,
82,1.4016849,103.9162586,84,1.4013841,103.9165819,48.99766588,
82,1.4016849,103.9162586,302A,1.4045119,103.9044019,1356.011178,
82,1.4016849,103.9162586,302B,1.404406,103.9047562,1314.947013,
80,1.4017677,103.9159556,302A,1.4045119,103.9044019,1321.089482,
80,1.4017677,103.9159556,302B,1.404406,103.9047562,1280.027433,
80,1.4017677,103.9159556,Blk 303D (65221),1.4040774,103.9048174,1265.567118,
80,1.4017677,103.9159556,303A,1.403809,103.9057605,1156.810063,
80,1.4017677,103.9159556,303B,1.4039404,103.9055183,1186.114604,
80,1.4017677,103.9159556,303C,1.404078,103.9052954,1213.528113,
80,1.4017677,103.9159556,293,1.4031741,103.9049597,1233.535804,
80,1.4017677,103.9159556,294,1.4026872,103.9046769,1259.276934,
80,1.4017677,103.9159556,88,1.4009267,103.9167378,127.3781427,
80,1.4017677,103.9159556,86,1.4012877,103.9169432,122.051172,
80,1.4017677,103.9159556,82,1.4016849,103.9162586,34.94064464,
293,1.4031741,103.9049597,Blk 303D (65221),1.4040774,103.9048174,101.1299318,
293,1.4031741,103.9049597,303A,1.403809,103.9057605,113.4488376,
293,1.4031741,103.9049597,303B,1.4039404,103.9055183,105.0914304,
293,1.4031741,103.9049597,303C,1.404078,103.9052954,106.7024916,
293,1.4031741,103.9049597,Blk 298 (65229),1.4032091,103.9055521,66.03952156,
293,1.4031741,103.9049597,299,1.4027949,103.905336,59.26055821,
293,1.4031741,103.9049597,294,1.4026872,103.9046769,62.36268259,
293,1.4031741,103.9049597,88,1.4009267,103.9167378,1334.091591,
293,1.4031741,103.9049597,90,1.4006172,103.9165299,1318.280889,
293,1.4031741,103.9049597,80,1.4017677,103.9159556,1233.535804,
299,1.4027949,103.905336,Blk 298 (65229),1.4032091,103.9055521,51.73012908,
299,1.4027949,103.905336,303B,1.4039404,103.9055183,128.2780147,
299,1.4027949,103.905336,303C,1.404078,103.9052954,141.9506327,
299,1.4027949,103.905336,298,1.4026126,103.9056626,41.56173823,
299,1.4027949,103.905336,297,1.4022883,103.9054975,58.82987039,
299,1.4027949,103.905336,296,1.4016979,103.905299,121.3705765,
299,1.4027949,103.905336,295,1.4020047,103.9048642,101.9381504,
299,1.4027949,103.905336,294,1.4026872,103.9046769,74.30931377,
299,1.4027949,103.905336,88,1.4009267,103.9167378,1285.570939,
299,1.4027949,103.905336,293,1.4031741,103.9049597,59.26055821,
298,1.4026126,103.9056626,195A,1.4015477,103.906155,129.8773062,
298,1.4026126,103.9056626,Opp Blk 296 (65089),1.4013487,103.9058481,141.2720985,
298,1.4026126,103.9056626,297,1.4022883,103.9054975,40.29244917,
298,1.4026126,103.9056626,294,1.4026872,103.9046769,110.0046778,
298,1.4026126,103.9056626,299,1.4027949,103.905336,41.56173823,
298,1.4026126,103.9056626,Blk 298 (65229),1.4032091,103.9055521,67.09449444,
297,1.4022883,103.9054975,195A,1.4015477,103.906155,109.8190944,
297,1.4022883,103.9054975,Opp Blk 296 (65089),1.4013487,103.9058481,110.9808561,
297,1.4022883,103.9054975,296,1.4016979,103.905299,68.91960287,
297,1.4022883,103.9054975,295,1.4020047,103.9048642,77.1394294,
297,1.4022883,103.9054975,294,1.4026872,103.9046769,101.4158721,
297,1.4022883,103.9054975,299,1.4027949,103.905336,58.82987039,
297,1.4022883,103.9054975,298,1.4026126,103.9056626,40.29244917,
296,1.4016979,103.905299,297,1.4022883,103.9054975,68.91960287,
296,1.4016979,103.905299,195A,1.4015477,103.906155,96.69812233,
296,1.4016979,103.905299,Opp Blk 296 (65089),1.4013487,103.9058481,72.28455168,
296,1.4016979,103.905299,Opp Blk 199C (65081),1.4009585,103.9052968,81.75947712,
296,1.4016979,103.905299,295,1.4020047,103.9048642,59.09481841,
296,1.4016979,103.905299,293,1.4031741,103.9049597,167.541182,
295,1.4020047,103.9048642,297,1.4022883,103.9054975,77.1394294,
295,1.4020047,103.9048642,296,1.4016979,103.905299,59.09481841,
295,1.4020047,103.9048642,Opp Blk 199C (65081),1.4009585,103.9052968,125.3011302,
295,1.4020047,103.9048642,289C,1.4016541,103.9034807,158.7704723,
295,1.4020047,103.9048642,289D,1.4020506,103.9036292,137.5323696,
295,1.4020047,103.9048642,288C,1.4025151,103.9036849,142.8605249,
295,1.4020047,103.9048642,90,1.4006172,103.9165299,1307.268169,
295,1.4020047,103.9048642,294,1.4026872,103.9046769,78.29302499,
295,1.4020047,103.9048642,293,1.4031741,103.9049597,129.7423589,
295,1.4020047,103.9048642,299,1.4027949,103.905336,101.9381504,
295,1.4020047,103.9048642,298,1.4026126,103.9056626,111.4129038,
294,1.4026872,103.9046769,293,1.4031741,103.9049597,62.36268259,
294,1.4026872,103.9046769,299,1.4027949,103.905336,74.30931377,
294,1.4026872,103.9046769,298,1.4026126,103.9056626,110.0046778,
294,1.4026872,103.9046769,297,1.4022883,103.9054975,101.4158721,
294,1.4026872,103.9046769,295,1.4020047,103.9048642,78.29302499,
294,1.4026872,103.9046769,289D,1.4020506,103.9036292,136.1960574,
294,1.4026872,103.9046769,288C,1.4025151,103.9036849,112.0242432,
294,1.4026872,103.9046769,90,1.4006172,103.9165299,1338.789314,
294,1.4026872,103.9046769,88,1.4009267,103.9167378,1356.257367,
294,1.4026872,103.9046769,80,1.4017677,103.9159556,1259.276934,
273A,1.4022774,103.9021262,273B,1.4020322,103.9017853,46.63013431,
273A,1.4022774,103.9021262,273C,1.402237,103.9013801,83.15085182,
273A,1.4022774,103.9021262,273D,1.4026282,103.9014705,82.63975827,
273A,1.4022774,103.9021262,274A,1.4027227,103.9023674,56.08019916,
273A,1.4022774,103.9021262,274C,1.4033607,103.901966,121.1052691,
273A,1.4022774,103.9021262,274D,1.4031046,103.9017219,101.9347681,
273B,1.4020322,103.9017853,273A,1.4022774,103.9021262,46.63013431,
273B,1.4020322,103.9017853,273C,1.402237,103.9013801,50.46018612,
273B,1.4020322,103.9017853,273D,1.4026282,103.9014705,74.63557345,
273B,1.4020322,103.9017853,274C,1.4033607,103.901966,148.2688435,
273B,1.4020322,103.9017853,274D,1.4031046,103.9017219,118.7902845,
273C,1.402237,103.9013801,272C,1.4029164,103.9000408,166.9082545,
273C,1.402237,103.9013801,273A,1.4022774,103.9021262,83.15085182,
273C,1.402237,103.9013801,273B,1.4020322,103.9017853,50.46018612,
273C,1.402237,103.9013801,273D,1.4026282,103.9014705,44.4113752,
273C,1.402237,103.9013801,274A,1.4027227,103.9023674,122.2965401,
273C,1.402237,103.9013801,274B,1.4031224,103.9024316,152.5717124,
273D,1.4026282,103.9014705,273A,1.4022774,103.9021262,82.63975827,
273D,1.4026282,103.9014705,273B,1.4020322,103.9017853,74.63557345,
273D,1.4026282,103.9014705,273C,1.402237,103.9013801,44.4113752,
273D,1.4026282,103.9014705,274A,1.4027227,103.9023674,100.3582099,
273D,1.4026282,103.9014705,274B,1.4031224,103.9024316,120.1085593,
273D,1.4026282,103.9014705,274D,1.4031046,103.9017219,59.64642148,
274A,1.4027227,103.9023674,273A,1.4022774,103.9021262,56.08019916,
274A,1.4027227,103.9023674,273C,1.402237,103.9013801,122.2965401,
274A,1.4027227,103.9023674,273D,1.4026282,103.9014705,100.3582099,
274A,1.4027227,103.9023674,274B,1.4031224,103.9024316,44.77055463,
274A,1.4027227,103.9023674,274C,1.4033607,103.901966,83.50025006,
274A,1.4027227,103.9023674,274D,1.4031046,103.9017219,83.32807238,
274B,1.4031224,103.9024316,273C,1.402237,103.9013801,152.5717124,
274B,1.4031224,103.9024316,273D,1.4026282,103.9014705,120.1085593,
274B,1.4031224,103.9024316,274A,1.4027227,103.9023674,44.77055463,
274B,1.4031224,103.9024316,274C,1.4033607,103.901966,58.13009893,
274B,1.4031224,103.9024316,274D,1.4031046,103.9017219,79.00443385,
274B,1.4031224,103.9024316,Punggol Temp Int (65009),1.404107,103.9025242,109.3587074,
274C,1.4033607,103.901966,273A,1.4022774,103.9021262,121.1052691,
274C,1.4033607,103.901966,273B,1.4020322,103.9017853,148.2688435,
274C,1.4033607,103.901966,274A,1.4027227,103.9023674,83.50025006,
274C,1.4033607,103.901966,274B,1.4031224,103.9024316,58.13009893,
274C,1.4033607,103.901966,274D,1.4031046,103.9017219,39.2410464,
274C,1.4033607,103.901966,Punggol Temp Int (65009),1.404107,103.9025242,103.2898351,
274D,1.4031046,103.9017219,273A,1.4022774,103.9021262,101.9347681,
274D,1.4031046,103.9017219,273B,1.4020322,103.9017853,118.7902845,
274D,1.4031046,103.9017219,273D,1.4026282,103.9014705,59.64642148,
274D,1.4031046,103.9017219,274A,1.4027227,103.9023674,83.32807238,
274D,1.4031046,103.9017219,274B,1.4031224,103.9024316,79.00443385,
274D,1.4031046,103.9017219,274C,1.4033607,103.901966,39.2410464,
301B,1.4042851,103.9058892,301A,1.404157,103.9062753,45.24218055,
301B,1.4042851,103.9058892,301C,1.4044227,103.9056415,31.48591024,
301B,1.4042851,103.9058892,303A,1.403809,103.9057605,54.55825259,
301B,1.4042851,103.9058892,303B,1.4039404,103.9055183,56.18258012,
301B,1.4042851,103.9058892,303C,1.404078,103.9052954,69.93723654,
301B,1.4042851,103.9058892,305A,1.4052051,103.9067226,137.6611544,
301B,1.4042851,103.9058892,305B,1.4053774,103.9063854,132.8055999,
301C,1.4044227,103.9056415,301B,1.4042851,103.9058892,31.48591024,
301C,1.4044227,103.9056415,301D,1.4045565,103.9053593,34.71545769,
301C,1.4044227,103.9056415,303A,1.403809,103.9057605,69.13998154,
301C,1.4044227,103.9056415,303B,1.4039404,103.9055183,55.0644835,
301C,1.4044227,103.9056415,303C,1.404078,103.9052954,54.18729978,
301C,1.4044227,103.9056415,303D,1.4042685,103.9050009,73.30066506,
301C,1.4044227,103.9056415,305B,1.4053774,103.9063854,134.1553377,
301D,1.4045565,103.9053593,301C,1.4044227,103.9056415,34.71545769,
301D,1.4045565,103.9053593,302D,1.4046918,103.90512,30.54545642,
301D,1.4045565,103.9053593,303B,1.4039404,103.9055183,70.38566541,
301D,1.4045565,103.9053593,303C,1.404078,103.9052954,53.38584849,
301D,1.4045565,103.9053593,303D,1.4042685,103.9050009,51.03875473,
302A,1.4045119,103.9044019,80,1.4017677,103.9159556,1321.089482,
302A,1.4045119,103.9044019,82,1.4016849,103.9162586,1356.011178,
302A,1.4045119,103.9044019,84,1.4013841,103.9165819,1398.895702,
302A,1.4045119,103.9044019,293,1.4031741,103.9049597,160.4238498,
302A,1.4045119,103.9044019,302B,1.404406,103.9047562,41.13083884,
302A,1.4045119,103.9044019,302C,1.4048249,103.9048829,63.74299992,
