name,lat,long
303A,1.403809,103.9057605
303B,1.4039404,103.9055183
303C,1.404078,103.9052954
303D,1.4042685,103.9050009
305A,1.4052051,103.9067226
305B,1.4053774,103.9063854
305D,1.4057889,103.9069365
306A,1.4061209,103.9054158
306B,1.405853,103.9059333
306C,1.406426,103.9060078
306D,1.4061131,103.9064785
601A,1.4024859,103.90759
601B,1.4022784,103.9078997
601C,1.4027727,103.9080352
601D,1.4029774,103.907682
301,1.4037205,103.9061298
602,1.4032471,103.9072887
602A,1.4034755,103.9070327
602B,1.4030339,103.9068768
602C,1.4028063,103.9071823
603,1.4039134,103.9079335
603A,1.4035487,103.9084722
603B,1.4031873,103.9082131
603C,1.4034137,103.907916
604A,1.4042647,103.9074102
604B,1.4039018,103.9072235
604C,1.4036773,103.9075724
612A,1.4042576,103.9092016
612B,1.4049451,103.9081374
612C,1.4051606,103.907831
612D,1.4047463,103.9076175
613A,1.404527,103.9079211
613B,1.4043172,103.9082461
613C,1.404103,103.9085458
613D,1.4038749,103.9088781
614,1.4033493,103.9096363
614A,1.4036136,103.9092319
614B,1.403051,103.9100811
615A,1.4040051,103.9095691
615B,1.4037658,103.9099181
615C,1.4034879,103.9102826
617A,1.4023895,103.9118418
617B,1.4021312,103.9121958
617C,1.4019209,103.9125034
617D,1.4016874,103.9128405
618A,1.4011885,103.9125063
618B,1.4014694,103.912109
618C,1.401654,103.9118562
618D,1.4019137,103.9114643
619A,1.402659,103.911458
619B,1.4029488,103.9110484
619C,1.4024585,103.9106922
619D,1.4021894,103.9110754
622A,1.4000377,103.9110567
622B,1.4002983,103.9107255
622C,1.4007194,103.9108095
622D,1.40048,103.91046
623A,1.3998609,103.9119724
623B,1.3994688,103.9118215
623C,1.3997381,103.9114497
624A,1.4008568,103.911349
624B,1.4007435,103.9116958
624C,1.4004795,103.9120551
632A,1.4006976,103.9133537
632B,1.4008386,103.9131451
632C,1.4009758,103.912972
633A,1.4013413,103.9131942
633B,1.4011994,103.9134116
635,1.40094,103.91348
635A,1.4009294,103.913744
635B,1.4007874,103.9139545
635C,1.4006393,103.9142004
636A,1.4002871,103.913923
636B,1.4004204,103.913761
637A,1.3997273,103.9145701
637B,1.3994464,103.9147895
637C,1.3992974,103.9150379
637D,1.3990893,103.9154517
638,1.3996555,103.9151857
638A,1.4001173,103.9148571
638B,1.3999441,103.9152358
638C,1.3997874,103.9154836
639,1.39948,103.91605
641A,1.3985574,103.9170247
641B,1.3988809,103.9167512
641C,1.3990478,103.9164875
642,1.3988106,103.9163595
642A,1.398171,103.9167323
642B,1.398399,103.9162706
642C,1.3985692,103.9160103
642D,1.3988568,103.9157521
647,1.3980501,103.9154532
643,1.3973094,103.9160501
651,1.3968483,103.9154372
645,1.3977581,103.9162963
652,1.396932,103.9157623
649,1.3972468,103.9149086
646,1.3981421,103.9157767
648,1.3976828,103.9151829
160,1.3953881,103.9152318
621A,1.4010684,103.9098981
621B,1.4013871,103.910104
623,1.40014,103.9120554
164,1.3957446,103.9144707
194,1.40207,103.9065
195,1.3929755,103.9024288
193,1.3933922,103.9018029
295C,1.3973286,103.9001029
295B,1.397865,103.9000542
197,1.3925642,103.9037257
196,1.3928404,103.9032859
297A,1.3950596,103.9006181
298C,1.3962698,103.9011588
298D,1.3956641,103.900943
150,1.3923366,103.9062955
207A,1.4003606,103.9010483
207B,1.4003608,103.9006492
207C,1.4005704,103.900229
207D,1.4010126,103.9005811
208A,1.4014699,103.9007049
208B,1.401465,103.9010732
208C,1.4008933,103.9011948
209A,1.3998108,103.9005978
209B,1.3998153,103.901034
209C,1.3992922,103.9009218
210A,1.3999949,103.9002888
210B,1.400125,103.8999507
210C,1.3996692,103.899873
211A,1.4017091,103.8998895
211B,1.4012182,103.8997827
211,1.401493,103.899605
271A,1.403733,103.9004599
271B,1.4041914,103.9005834
271C,1.4039578,103.9010182
271D,1.4035235,103.9008775
272A,1.4031472,103.9006576
272B,1.4033443,103.9002223
272C,1.4029164,103.9000408
272D,1.4027492,103.9004212
206A,1.3992114,103.9014882
668A,1.4050188,103.912532
668B,1.4048405,103.9131123
669A,1.4048694,103.9138856
669B,1.4047636,103.9140173
670A,1.4054125,103.9128391
670C,1.4054164,103.9139479
670B,1.4053062,103.9134147
54,1.4058102,103.9000251
56,1.4057011,103.9002777
58,1.4053901,103.9001146
60,1.4054569,103.899884
70,1.4050449,103.9000544
72,1.4047404,103.8999272
308A,1.4073732,103.9006304
308B,1.4077036,103.8998408
310A,1.4090711,103.9012915
61,1.4072342,103.9030791
79,1.4069121,103.9018717
81,1.4071627,103.9016288
63,1.4069964,103.9029405
65,1.4067462,103.9027964
67,1.4066646,103.9023606
69,1.4062821,103.9025436
71,1.4060048,103.9018971
73,1.4065509,103.9013901
75,1.4065121,103.9017918
77,1.4062949,103.9020783
679B,1.4062933,103.9084381
53,1.3990001,103.913092
53A,1.3987365,103.9129042
55A,1.3991254,103.9122815
57A,1.3992667,103.9128332
57,1.3995023,103.9125277
55,1.3988878,103.9125779
678C,1.4062514,103.9095131
679C,1.4064261,103.9087928
679A,1.4059557,103.9082727
678A,1.4056302,103.9087202
678B,1.4058395,103.9090647
676B,1.4049402,103.9103073
677D,1.405924,103.9103176
677C,1.4056089,103.9098698
677A,1.4052061,103.9093228
677B,1.4051986,103.9096037
676D,1.4056173,103.9108549
676C,1.4053201,103.9106096
676A,1.4047346,103.9099729
664A,1.3996236,103.9175403
664B,1.4000435,103.917874
663C,1.4004095,103.9175507
663A,1.4003282,103.9170942
663B,1.4008272,103.9172664
666B,1.4018895,103.915302
667B,1.4021604,103.9148002
665A,1.4021327,103.9137076
665B,1.4020719,103.9141528
665C,1.4015187,103.9144735
666A,1.4015044,103.9149982
667A,1.4025736,103.9141109
88 The Terrace,1.4009267,103.9167378
90 The Terrace,1.4006172,103.9165299
92 The Terrace,1.4002986,103.9162965
94 The Terrace,1.4004774,103.9160421
96 The Terrace,1.4007961,103.9162734
98 The Terrace,1.4011074,103.9161814
100 The Terrace,1.4012661,103.9159612
102 The Terrace,1.4014146,103.9157378
80 The Terrace,1.4017677,103.9159556
82 The Terrace,1.4016849,103.9162586
86 The Terrace,1.4012877,103.9169432
84 The Terrace,1.4013841,103.9165819
661B,1.4024504,103.9167948
661C,1.4021444,103.9173529
662D,1.4017384,103.9178827
662C,1.4013737,103.9184353
662B,1.4016703,103.918734
662A,1.4021327,103.9182486
661A,1.4030281,103.9171286
658C,1.4006033,103.9187898
684A,1.402901,103.9156861
682A,1.4035935,103.9162904
683C,1.4041894,103.9146625
682B,1.403446,103.9158412
682C,1.4037053,103.9155286
684B,1.403187,103.9151978
684D,1.4037509,103.9142398
684C,1.4035779,103.9147809
683B,1.404643,103.9148946
683A,1.4043882,103.9152517
672A,1.4064559,103.9125538
672B,1.4066949,103.9123554
673B,1.4069871,103.9111775
672C,1.4074239,103.9113193
672D,1.4076696,103.910959
673C,1.4072655,103.9107529
673A,1.4066903,103.9115425
671B,1.4062312,103.911618
671A,1.4060712,103.9121818
92 River Parc,1.3982081,103.9176359
90 River Parc,1.3983086,103.9173806
102 River Parc,1.3979214,103.9171327
100 River Parc,1.397838,103.9173684
98 River Parc,1.3976378,103.917609
96 River Parc,1.3975484,103.9178452
94 River Parc,1.3980003,103.9179364
5 Flo Residence,1.3923349,103.9131659
7 Flo Residence,1.3925748,103.913368
9 Flo Residence,1.3924572,103.913851
47,1.4012439,103.9074732
47A,1.4012642,103.9077506
47B,1.4011708,103.908058
45B,1.4008075,103.9079243
45A,1.4006878,103.9082092
45,1.4007347,103.9084917
94 Parc Centros,1.4031721,103.9035046
92 Parc Centros,1.4030127,103.9037689
90 Parc Centros,1.4028488,103.9040475
88 Parc Centros,1.4032174,103.9043241
80 Parc Centros,1.4034786,103.9044918
86 Parc Centros,1.4035173,103.903721
84 Parc Centros,1.4038701,103.9038914
82 Parc Centros,1.4037392,103.9041668
55A The Amore,1.39913,103.91228
55 The Amore,1.3989,103.91258
53A The Amore,1.39875,103.91287
53 The Amore,1.39901,103.91308
