fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,overhead
88,103.9167378,1.4009267,84,103.9165819,1.4013841,53.46996987,
88,103.9167378,1.4009267,82,103.9162586,1.4016849,99.36156526,
84,103.9165819,1.4013841,82,103.9162586,1.4016849,48.99766588,
84,103.9165819,1.4013841,88,103.9167378,1.4009267,53.46996987,
84,103.9165819,1.4013841,90,103.9165299,1.4006172,84.9971457,
84,103.9165819,1.4013841,86,103.9169432,1.4012877,41.59674489,
84,103.9165819,1.4013841,302A,103.9044019,1.4045119,1398.895702,
84,103.9165819,1.4013841,302B,103.9047562,1.404406,1357.796869,
82,103.9162586,1.4016849,80,103.9159556,1.4017677,34.94064464,
82,103.9162586,1.4016849,88,103.9167378,1.4009267,99.36156526,
82,103.9162586,1.4016849,90,103.9165299,1.4006172,121.8602674,
82,103.9162586,1.4016849,92,103.9162965,1.4002986,153.3480532,
82,103.9162586,1.4016849,86,103.9169432,1.4012877,87.93980057,
82,103.9162586,1.4016849,84,103.9165819,1.4013841,48.99766588,
82,103.9162586,1.4016849,302A,103.9044019,1.4045119,1356.011178,
82,103.9162586,1.4016849,302B,103.9047562,1.404406,1314.947013,
80,103.9159556,1.4017677,302A,103.9044019,1.4045119,1321.089482,
80,103.9159556,1.4017677,302B,103.9047562,1.404406,1280.027433,
80,103.9159556,1.4017677,303A,103.9057605,1.403809,1156.810063,
80,103.9159556,1.4017677,303B,103.9055183,1.4039404,1186.114604,
80,103.9159556,1.4017677,303C,103.9052954,1.404078,1213.528113,
80,103.9159556,1.4017677,293,103.9049597,1.4031741,1233.535804,
80,103.9159556,1.4017677,294,103.9046769,1.4026872,1259.276934,
80,103.9159556,1.4017677,88,103.9167378,1.4009267,127.3781427,
80,103.9159556,1.4017677,86,103.9169432,1.4012877,122.051172,
80,103.9159556,1.4017677,82,103.9162586,1.4016849,34.94064464,
293,103.9049597,1.4031741,303A,103.9057605,1.403809,113.4488376,
293,103.9049597,1.4031741,303B,103.9055183,1.4039404,105.0914304,
293,103.9049597,1.4031741,303C,103.9052954,1.404078,106.7024916,
