id,name,long,lat
way/445716773,Sentul Crescent,103.9054432,1.407509
way/445716774,Sentul Crescent,103.9055437,1.4074847
way/447713008,Punggol Drive,103.9040246,1.4078687
way/448937466,Compassvale Street,103.9012342,1.3942839
way/448937467,Compassvale Street,103.9008504,1.3943037
way/448937468,Rivervale Drive,103.9016873,1.3940926
way/448937542,Punggol Road,103.9012622,1.393944
way/448937547,Punggol Road,103.9014443,1.3943317
way/448937551,Punggol Road,103.9016022,1.3943461
way/448937553,Rivervale Drive,103.9015874,1.3940324
way/452362556,128B,103.9128164,1.3933997
way/452362557,128B,103.9130507,1.3932067
way/452362558,128A,103.9125471,1.3936073
way/452362559,128D,103.9118413,1.3930528
way/452362560,Punggol Field Walk,103.9129001,1.3924063
way/452362561,109B,103.9094903,1.3949723
way/453746115,Edgefield Plains,103.9151179,1.4008301
way/453746117,666,103.9148077,1.4010534
way/463494882,Punggol East,103.9185866,1.3982836
way/463494884,Punggol Drive,103.9186184,1.3979849
way/463494897,Punggol East,103.9185873,1.3980734
way/464793754,Punggol Field,103.902,1.4017463
way/464793755,Punggol Place,103.9017769,1.4013471
way/464793756,Punggol Field,103.9021049,1.4012078
way/464793757,Punggol Place,103.9023065,1.4015857
way/464793758,Punggol Walk,103.9005998,1.4059181
way/464793759,Punggol Central,103.9009837,1.4057148
way/464819513,188D,103.904037,1.3949511
way/464819516,203B,103.9033785,1.3978096
way/464819517,201D,103.9029491,1.3996324
way/464820238,197,103.9036552,1.3923874
way/464820240,Rivervale Drive,103.9022355,1.3936831
way/464820242,295C,103.9003208,1.3974632
way/464820243,295A,103.8997314,1.3981416
way/464820246,296C,103.8997636,1.3972165
way/465240568,110C,103.9100485,1.3954406
way/465240575,641A,103.9169717,1.3983494
way/465240591,637A,103.9143698,1.3995429
way/465240609,174A,103.9115792,1.39641
way/465240612,110A,103.9095904,1.3961489
way/465242464,Tebing Lane,103.9157847,1.3925069
way/465242467,128B,103.9130335,1.3928986
way/465242470,128B,103.9131325,1.3931792
way/465242473,126,103.9106517,1.3945139
way/465242475,126C,103.9108112,1.3938231
way/465243145,138,103.9094367,1.3929806
way/465243146,131,103.9106471,1.3936074
way/475941379,Punggol East,103.9152764,1.3931841
way/476139395,Sentul Crescent,103.9057141,1.407862
