fromNode,fromNode_long,fromNode_lat,OppBusStop
Blk 268C (65339),103.8981118,1.4031893,Opp Blk 268D (65331)
Blk 272C (65349),103.9006432,1.4022889,Opp Blk 272C (65341)
Blk 298 (65229),103.9055521,1.4032091,Blk 303D (65221)
Blk 301A (65091),103.9065771,1.4040152,Blk 604A (65099)
Blk 303D (65221),103.9048174,1.4040774,Blk 298 (65229)
Blk 310B (65469),103.9011984,1.4097733,Blk 312 CP (65461)
Blk 312 CP (65461),103.90135,1.40988,Blk 310B (65469)
Blk 315B (65449),103.8959875,1.4080168,Opp Blk 315B (65441)
Blk 322 Carpark (65451),103.8975557,1.4107318,Opp Blk 322 Carpark (65459)
Blk 604A (65099),103.9071851,1.404533,Blk 301A (65091)
Blk 649 (65261),103.9146038,1.3971462,Blk 162B (65269)
Blk 661A (65379),103.9163,1.4028,Blk 682A (65371)
Blk 670A (65399),103.9126284,1.4058029,Blk 672A (65391)
Blk 672A (65391),103.9124459,1.4059501,Blk 670A (65399)
Blk 682A (65371),103.9161895,1.4029162,Blk 682A (65371)
Coral Edge LRT,103.9125723,1.3939318,0
Coral Edge Stn Exit A (65179),103.9118997,1.3942822,Coral Edge Stn Exit B (65171)
Coral Edge Stn Exit B (65171),103.9122461,1.3944344,Coral Edge Stn Exit A (65179)
Cove LRT,103.90581,1.39941,0
Cove Stn Exit A (65159),103.9061631,1.3990411,Cove Stn Exit B (65151)
Cove Stn Exit B (65151),103.9065501,1.3991335,Cove Stn Exit A (65159)
Damai LRT,103.90858,1.40526,0
Damai Stn Exit A (65309),103.909134,1.404944,Damai Stn Exit B (65301)
Damai Stn Exit B (65301),103.909287,1.4045163,Damai Stn Exit A (65309)
Greendale Pr Sch (65429),103.9120865,1.3967443,0
Horizon Primary School (65411),103.9138187,1.3994654,Opp Horizon Pr Sch (65419)
Kadaloor LRT,103.9164448,1.399601,0
Kadaloor Stn Exit A (65329),103.9162493,1.3999112,Kadaloor Stn Exit B (65321)
Kadaloor Stn Exit B (65321),103.9166662,1.3993112,Kadaloor Stn Exit A (65329)
Meridian LRT,103.90888,1.39692,0
Meridian Stn Exit A (65169),103.910029,1.3958293,Meridian Stn Exit B (65161)
Meridian Stn Exit B (65161),103.9098666,1.3963978,Meridian Stn Exit A (65169)
Nibong Stn Exit A (65619),103.89998,1.41148,Nibong Stn Exit B (65611)
Nibong Stn Exit B (65611),103.90036,1.41134,Nibong Stn Exit A (65619)
Oasis LRT,103.9127329,1.4022823,0
Oasis Stn Exit A (65319),103.9127387,1.402466,Oasis Stn Exit B/Blk 617D (65311)
Oasis Stn Exit B/Blk 617D (65311),103.9127005,1.4021461,Oasis Stn Exit A (65319)
Opp Blk 103A (65071),103.9041539,1.3984929,Blk 102C (65079)
Opp Blk 188 (65271),103.9106464,1.3999807,Bet Blks 187/188 (65279)
Opp Blk 199C (65081),103.9052968,1.4009585,Opp Blk 296 (65089)
Opp Blk 201A (65201),103.9035672,1.4008806,Aft Punggol Rd (65209)
Opp Blk 227A (65559),103.8924934,1.4040841,Blk 227A (65551)
Opp Blk 259 Carpark (65491),103.8948119,1.4045728,Blk 259 Carpark (65499)
Opp Blk 264A (65401),103.89871,1.4065689,Bef Blk 264 (65409)
Opp Blk 268D (65331),103.8986331,1.4026665,Blk 268C (65339)
Opp Blk 272C (65341),103.900933,1.4017647,Blk 272C (65349)
Opp Blk 296 (65089),103.9058481,1.4013487,Opp Blk 199C (65081)
Opp Blk 315B (65441),103.8957547,1.4081914,Blk 315B (65449)
Opp Blk 322 Carpark (65459),103.8977409,1.4105725,Blk 322 Carpark (65451)
Opp Horizon Pr Sch (65419),103.9139912,1.3994396,Horizon Primary School (65411)
Opp Punggol Cove Pr Sch (65679),103.8990257,1.4109443,Punggol Cove Pr Sch (65671)
Opp Punggol Sec/Blk 195E (65289),103.907635,1.401732,Punggol Sec/Blk 601B (65281)
Opp Punggol Secondary School (65389),103.9101159,1.4022258,Punggol Secondary School (65381)
