bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
3,way/620514878,103.9124308,1.3939458,Coral Edge Stn Exit A (65179),103.9118997,1.3942822,69.83535652,0
3,Coral Edge Stn Exit A (65179),103.9118997,1.3942822,way/535773836,103.9113722,1.3948128,82.99653078,0
3,way/535773836,103.9113722,1.3948128,way/620514877,103.9110801,1.3950557,42.16731605,0
3,way/620514877,103.9110801,1.3950557,way/534637120,103.9108927,1.3952198,27.64398752,0
3,way/534637120,103.9108927,1.3952198,Meridian Stn Exit A (65169),103.910029,1.3958293,117.391967,0
3,Meridian Stn Exit A (65169),103.910029,1.3958293,way/534637123,103.90954,1.396298,75.14938754,0
3,way/534637123,103.90954,1.396298,way/620519867,103.9081877,1.3973968,193.4174325,0
3,way/620519867,103.9081877,1.3973968,way/649801185,103.9078244,1.3977026,52.7066702,0
3,way/649801185,103.9078244,1.3977026,way/620519868,103.9075658,1.3979008,36.17351512,0
3,way/620519868,103.9075658,1.3979008,way/620519866,103.9073006,1.3981067,37.27442231,0
3,way/620519866,103.9073006,1.3981067,way/512918169,103.9071746,1.3982113,18.17677267,0
3,way/512918169,103.9071746,1.3982113,way/175052982,103.9070222,1.3983536,23.13500403,0
3,way/175052982,103.9070222,1.3983536,Cove Stn Exit A (65159),103.9061631,1.3990411,122.1459795,0
3,Cove Stn Exit A (65159),103.9061631,1.3990411,way/620522276,103.905969,1.3991975,27.67075247,0
3,way/620522276,103.905969,1.3991975,way/620522277,103.9057933,1.3993302,24.44641045,0
3,way/620522277,103.9057933,1.3993302,way/620522275,103.9055425,1.3995032,33.83697934,0
3,way/620522275,103.9055425,1.3995032,way/445283041,103.9051807,1.3995924,41.45395489,0
3,way/445283041,103.9051807,1.3995924,Blk 102C (65079),103.9047796,1.3988936,89.23609487,0
3,Blk 102C (65079),103.9047796,1.3988936,way/620576652,103.9043657,1.3982583,84.00285576,0
3,way/620576652,103.9043657,1.3982583,way/717057840,103.9041902,1.3978999,44.18136878,0
3,way/717057840,103.9041902,1.3978999,way/166722003,103.90415,1.3973321,62.94363511,0
3,way/166722003,103.90415,1.3973321,way/661322721,103.9043975,1.3968151,63.45655643,0
3,way/661322721,103.9043975,1.3968151,way/668176473,103.9047152,1.3965349,47.01045038,0
3,way/668176473,103.9047152,1.3965349,Aft Punggol Rd (65199),103.9055001,1.3959978,105.6265978,0
3 Reverse,Bef Punggol Rd (65191),103.9055001,1.3959978,way/626575145,103.9044675,1.3959093,115.3305389,1
3 Reverse,way/626575145,103.9044675,1.3959093,way/479744511,103.9041934,1.3960503,34.25719834,1
3 Reverse,way/479744511,103.9041934,1.3960503,way/74584466,103.9037406,1.3963029,57.61394109,1
3 Reverse,way/74584466,103.9037406,1.3963029,way/500371481,103.9033917,1.396509,45.02185995,1
3 Reverse,way/500371481,103.9033917,1.396509,way/32776686,103.9033771,1.3965863,8.70049997,1
3 Reverse,way/32776686,103.9033771,1.3965863,way/166721998,103.9035279,1.3968741,35.97734531,1
3 Reverse,way/166721998,103.9035279,1.3968741,way/166722000,103.9036962,1.3972119,41.78496685,1
3 Reverse,way/166722000,103.9036962,1.3972119,way/582412264,103.9038953,1.3976101,49.2916171,1
3 Reverse,way/582412264,103.9038953,1.3976101,Opp Blk 103A (65071),103.9041539,1.3984929,101.7693985,1
3 Reverse,Opp Blk 103A (65071),103.9041539,1.3984929,way/620522273,103.9045689,1.3990071,73.25124171,1
3 Reverse,way/620522273,103.9045689,1.3990071,way/620522272,103.904659,1.3992284,26.44487438,1
3 Reverse,way/620522272,103.904659,1.3992284,way/717055145,103.9047441,1.3994461,25.86811002,1
3 Reverse,way/717055145,103.9047441,1.3994461,way/620522271,103.9048002,1.3995832,16.39504417,1
3 Reverse,way/620522271,103.9048002,1.3995832,way/582412281,103.9048816,1.399756,21.14595055,1
3 Reverse,way/582412281,103.9048816,1.399756,way/174886184,103.9049897,1.3999899,28.52441186,1
3 Reverse,way/174886184,103.9049897,1.3999899,way/74477400,103.905091,1.4000273,12.00791998,1
3 Reverse,way/74477400,103.905091,1.4000273,way/582412282,103.9052805,1.3999071,24.92770661,1
